Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004,1,27,2,900,900,1442,1444,UA,484,N560UA,222,224,201,-2,0,PDX,ORD,1739,6,15,0,,0,0,0,0,0,0
2004,1,29,4,1542,1545,2114,2119,UA,512,N555UA,212,214,187,-5,-3,DEN,MIA,1709,4,21,0,,0,0,0,0,0,0
2004,1,27,2,NA,1700,NA,2018,UA,538,000000,NA,138,NA,NA,NA,ORD,BOS,867,0,0,1,B,0,0,0,0,0,0
2004,1,4,7,1213,1000,1303,1035,UA,563,N333UA,110,95,77,148,133,OKC,DEN,495,7,26,0,,0,133,0,15,0,0
2004,1,11,7,1211,1115,1747,1643,UA,588,N550UA,216,208,181,64,56,LAS,ORD,1515,10,25,0,,0,47,0,8,0,9
2004,1,31,6,1258,1300,1530,1545,UA,614,N905UA,92,105,77,-15,-2,ORD,DCA,612,3,12,0,,0,0,0,0,0,0
2004,1,17,6,1555,1245,1736,1409,UA,647,N306UA,161,144,132,207,190,EWR,ORD,719,6,23,0,,0,0,0,207,0,0
2004,1,7,3,1200,1200,1452,1501,UA,680,N406UA,112,121,95,-9,0,ORD,LGA,733,4,13,0,,0,0,0,0,0,0
2004,1,22,4,1549,1510,1818,1754,UA,709,N330UA,149,164,133,24,39,ORD,IAH,925,5,11,0,,0,24,0,0,0,0
2004,1,25,7,1326,1325,1553,1547,UA,734,N808UA,87,82,56,6,1,ORD,PIT,412,4,27,0,,0,0,0,0,0,0
2004,1,19,1,1955,2000,2106,2111,UA,761,N316UA,71,71,55,-5,-5,DEN,ABQ,349,4,12,0,,0,0,0,0,0,0
2004,1,13,2,840,845,1050,1048,UA,788,N377UA,130,123,108,2,-5,SFO,SEA,679,3,19,0,,0,0,0,0,0,0
2004,1,25,7,1745,1745,2045,2037,UA,850,N939UA,120,112,84,8,0,ORD,IAD,589,6,30,0,,0,0,0,0,0,0
2004,1,17,6,1359,1246,1615,1510,UA,887,N393UA,136,144,112,65,73,MSY,ORD,837,9,15,0,,0,0,0,65,0,0
2004,1,6,2,1245,1250,1351,1353,UA,923,N841UA,126,123,106,-2,-5,IAD,ORD,589,6,14,0,,0,0,0,0,0,0
2004,1,5,1,1153,1130,1508,1454,UA,958,N525UA,135,144,105,14,23,DEN,ORD,888,9,21,0,,0,0,0,0,0,0
2004,1,21,3,NA,1910,NA,2026,UA,996,000000,NA,76,NA,NA,NA,LAX,SFO,337,0,0,1,A,0,0,0,0,0,0
2004,1,16,5,1905,1755,2202,2049,UA,1044,N949UA,117,114,80,73,70,ORD,RIC,642,4,33,0,,0,8,0,3,0,62
2004,1,1,4,1011,1005,1224,1221,UA,1076,N903UA,73,76,55,3,6,DEN,ICT,419,3,15,0,,0,0,0,0,0,0
